oyun oynamak için android telefon öner -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
256 gb hafızalı telefon -> price:any; brand:none; os:none; usage:none; ram:none; storage:256; battery:none; camera:none; screen:none;
20000 tl civarı android telefon -> price:20000; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
oyun oynamak için iphone -> price:any; brand:apple; os:ios; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
fotoğraf çekmek için xiaomi -> price:any; brand:xiaomi; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
bataryası iyi 128 gb telefon -> price:any; brand:none; os:none; usage:none; ram:none; storage:128; battery:good; camera:none; screen:none;
6 gb ramli oyun telefonu -> price:any; brand:none; os:none; usage:game; ram:6; storage:none; battery:none; camera:none; screen:none;
ekranı büyük android telefon -> price:any; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:good;
bütçem 18000 tl android fotoğraf telefonu -> price:18000; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
hızlı oyun oynayabileceğim android telefon -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
iyi depolama ve batarya samsung -> price:any; brand:samsung; os:android; usage:none; ram:none; storage:good; battery:good; camera:none; screen:none;
15000 tl altında kamerası iyi telefon -> price:15000; brand:none; os:none; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
iphone için iyi kamera -> price:any; brand:apple; os:ios; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
25000 tl gaming telefon android -> price:25000; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
bataryası iyi iphone -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
16 gb ramli telefon -> price:any; brand:none; os:none; usage:none; ram:16; storage:none; battery:none; camera:none; screen:none;
hafızası iyi olan ve bataryası uzun giden telefon -> price:any; brand:none; os:none; usage:none; ram:none; storage:good; battery:good; camera:none; screen:none;
samsung fotoğraf ve oyun için -> price:any; brand:samsung; os:android; usage:game; ram:none; storage:none; battery:none; camera:good; screen:none;
xiaomi 128 gb hafıza -> price:any; brand:xiaomi; os:android; usage:none; ram:none; storage:128; battery:none; camera:none; screen:none;
android telefon 8 gb ram 256 gb hafıza -> price:any; brand:none; os:android; usage:none; ram:8; storage:256; battery:none; camera:none; screen:none;
bütçe 10000 tl altı android telefon -> price:10000; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
oyun için uygun fiyatlı android telefon -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
profesyonel fotoğraf çekmek için iphone -> price:any; brand:apple; os:ios; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
şarjı iyi giden samsung telefon -> price:any; brand:samsung; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
hızlı ve güçlü android telefon -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
15000 tl oyun için android telefon -> price:15000; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
iyi bir ekranı olan android telefon -> price:any; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:good;
apple telefon 128 gb depolama -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:128; battery:none; camera:none; screen:none;
hafızası yüksek android telefon -> price:any; brand:none; os:android; usage:none; ram:none; storage:good; battery:none; camera:none; screen:none;
20000 tl kamera ve batarya iyi olan telefon -> price:20000; brand:none; os:none; usage:photo; ram:none; storage:none; battery:good; camera:good; screen:none;
oyun ve fotoğraf için samsung -> price:any; brand:samsung; os:android; usage:game; ram:none; storage:none; battery:none; camera:good; screen:none;
6 gb ramli samsung telefon -> price:any; brand:samsung; os:android; usage:none; ram:6; storage:none; battery:none; camera:none; screen:none;
uzun ömürlü bataryaya sahip android -> price:any; brand:none; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
15000 tl'ye iyi kamerası olan android -> price:15000; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
iphone oyun ve batarya -> price:any; brand:apple; os:ios; usage:game; ram:none; storage:none; battery:good; camera:none; screen:none;
xiaomi gaming telefon -> price:any; brand:xiaomi; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
256 gb hafızalı android -> price:any; brand:none; os:android; usage:none; ram:none; storage:256; battery:none; camera:none; screen:none;
bütçem 22000 tl iyi kameralı telefon -> price:22000; brand:none; os:none; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
android telefon 8 gb ram -> price:any; brand:none; os:android; usage:none; ram:8; storage:none; battery:none; camera:none; screen:none;
oyun için güçlü batarya samsung -> price:any; brand:samsung; os:android; usage:game; ram:none; storage:none; battery:good; camera:none; screen:none;
apple fotoğraf ve depolama -> price:any; brand:apple; os:ios; usage:photo; ram:none; storage:good; battery:none; camera:good; screen:none;
10000 tl'ye bataryası iyi android -> price:10000; brand:none; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
hızlı şarj olan android telefon -> price:any; brand:none; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
iyi bir ekranlı oyun telefonu android -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:good;
15000 tl'ye gaming iphone -> price:15000; brand:apple; os:ios; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
fotoğraf ve batarya iyi olan xiaomi -> price:any; brand:xiaomi; os:android; usage:photo; ram:none; storage:none; battery:good; camera:good; screen:none;
128 gb hafıza ve iyi kamera android -> price:any; brand:none; os:android; usage:photo; ram:none; storage:128; battery:none; camera:good; screen:none;
30000 tl oyun ve fotoğraf iphone -> price:30000; brand:apple; os:ios; usage:game; ram:none; storage:none; battery:none; camera:good; screen:none;
şarjı iyi giden ve ram'i yüksek android -> price:any; brand:none; os:android; usage:none; ram:8; storage:none; battery:good; camera:none; screen:none;
25000 tl altında samsung oyun telefonu -> price:25000; brand:samsung; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
fotoğraf ve depolama için android -> price:any; brand:none; os:android; usage:photo; ram:none; storage:good; battery:none; camera:good; screen:none;
6 gb ram ve 128 gb hafıza android -> price:any; brand:none; os:android; usage:none; ram:6; storage:128; battery:none; camera:none; screen:none;
iyi bir ekranı olan samsung -> price:any; brand:samsung; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:good;
18000 tl'ye bataryası iyi gaming telefon -> price:18000; brand:none; os:none; usage:game; ram:none; storage:none; battery:good; camera:none; screen:none;
iphone hızlı şarj olan -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
xiaomi fotoğraf ve oyun -> price:any; brand:xiaomi; os:android; usage:game; ram:none; storage:none; battery:none; camera:good; screen:none;
256 gb hafızalı iphone -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:256; battery:none; camera:none; screen:none;
oyun için uygun android telefon -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
iyi kamera ve iyi batarya android -> price:any; brand:none; os:android; usage:photo; ram:none; storage:none; battery:good; camera:good; screen:none;
15000 tl altı samsung kamera iyi -> price:15000; brand:samsung; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
iphone için iyi batarya ve depolama -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:good; battery:good; camera:none; screen:none;
8 gb ramli oyun telefonu android -> price:any; brand:none; os:android; usage:game; ram:8; storage:none; battery:none; camera:none; screen:none;
depolaması iyi xiaomi telefon -> price:any; brand:xiaomi; os:android; usage:none; ram:none; storage:good; battery:none; camera:none; screen:none;
20000 tl civarı samsung gaming -> price:20000; brand:samsung; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
fotoğraf çekmek için ucuz android -> price:any; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
16 gb ramli android oyun telefonu -> price:any; brand:none; os:android; usage:game; ram:16; storage:none; battery:none; camera:none; screen:none;
bataryası kötü olmayan android -> price:any; brand:none; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
ekranı ve bataryası iyi olan telefon -> price:any; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:good;
iphone 256 gb depolama ve kamera iyi -> price:any; brand:apple; os:ios; usage:photo; ram:none; storage:256; battery:none; camera:good; screen:none;
gaming ve iyi kamera android -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:good; screen:none;
15000 tl'ye android batarya iyi -> price:15000; brand:none; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
6 gb ramli ve bataryası iyi iphone -> price:any; brand:apple; os:ios; usage:none; ram:6; storage:none; battery:good; camera:none; screen:none;
xiaomi bataryası iyi olan -> price:any; brand:xiaomi; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
128 gb hafıza ve iyi batarya android gaming -> price:any; brand:none; os:android; usage:game; ram:none; storage:128; battery:good; camera:none; screen:none;
20000 tl'ye samsung fotoğraf telefonu -> price:20000; brand:samsung; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
oyun için yüksek ramli telefon -> price:any; brand:none; os:none; usage:game; ram:8; storage:none; battery:none; camera:none; screen:none;
iyi ekran ve yüksek depolama android -> price:any; brand:none; os:android; usage:none; ram:none; storage:good; battery:none; camera:none; screen:good;
iphone oyun ve depolama iyi -> price:any; brand:apple; os:ios; usage:game; ram:none; storage:good; battery:none; camera:none; screen:none;
10000 tl altı android telefon iyi kamera -> price:10000; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
samsung 8 gb ramli -> price:any; brand:samsung; os:android; usage:none; ram:8; storage:none; battery:none; camera:none; screen:none;
uzun pil ömrü olan iphone -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
xiaomi hızlı şarj olan -> price:any; brand:xiaomi; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
25000 tl bütçeli android kamera iyi -> price:25000; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
oyun için 256 gb hafızalı telefon -> price:any; brand:none; os:none; usage:game; ram:none; storage:256; battery:none; camera:none; screen:none;
iyi kamerası olan samsung 128 gb -> price:any; brand:samsung; os:android; usage:photo; ram:none; storage:128; battery:none; camera:good; screen:none;
15000 tl oyun ve ram iyi android -> price:15000; brand:none; os:android; usage:game; ram:8; storage:none; battery:none; camera:none; screen:none;
fotoğraf için iyi bir telefon -> price:any; brand:none; os:none; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
bataryası uzun giden ve hızlı android -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:good; camera:none; screen:none;
20000 tl altı iphone fotoğraf için -> price:20000; brand:apple; os:ios; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
xiaomi gaming 8 gb ram -> price:any; brand:xiaomi; os:android; usage:game; ram:8; storage:none; battery:none; camera:none; screen:none;
bataryası iyi ve ekranı büyük android -> price:any; brand:none; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:good;
bütçem 15000 tl -> price:15000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
bütçem min 15000tl -> price:15000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
en fazla 15000tl olan telefon -> price:15000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
en az 15000tl olan telefon -> price:15000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
15000 tl bütçeli telefon -> price:15000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
15000 tl -> price: 15000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
fiyatı 15000 tl -> price:15000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
fiyatı 15000 lira -> price:15000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
bütçe farketmez -> price:any; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
bütçe önemli değil -> price:any; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
15000 lira -> price:15000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
15000 tllik -> price:15000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
orta segment telefon 20000 tl civarı -> price:20000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
android -> price:none; brand:none; os:android;usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
androıd -> price:none; brand:none; os:andorid; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
samsung -> price:none; brand:samsung; os:android;usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
samsun -> price:none; brand:samsung; os:android;usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
androd -> price:none; brand:none; os:android;usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
android telefon öner -> price:none; brand:none; os:andorid; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
xiaomi telefon -> price:none; brand:xiaomi; os:android;usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
sayomi telefon -> price:none; brand:xiaomi; os:android;usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
çin telefonu -> price:none; brand:xiaomi; os:android;usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
apple telefon -> price:none; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
apple -> price:none; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
ayfon telefon -> price:none; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
ios telefon -> price:none; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
iphone marka -> price:none; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
iphon marka -> price:none; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
apple marka telefon -> price:none; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
epıl -> price:none; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
apple marka -> price:none; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
eypıl marka -> price:none; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
oyun oynamak için android telefon öner -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
15000 tl altında 6 gb ram android telefon -> price:15000; brand:none; os:android; usage:none; ram:6; storage:none; battery:none; camera:none; screen:none; 
kamerası iyi olan android telefon öner -> price:any; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none; 
15000 tl den az 6 gb ram android telefon öner -> price:15000; brand:none; os:android; usage:none; ram:6gb; storage:none; battery:none; camera:none; screen:none;
25000 tl hafızası iyi olan oyun için telefon android -> price:25000; brand:none; os:android; usage:game; ram:none; storage:good; battery:none; camera:none; screen:none;
fotoğraf çekmek için samsung telefon -> price:any; brand:samsung; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;  
fotoğraf çekmek için samsung telefon -> price:any; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;  
fotoğraf çekmek için apple telefon  -> price:any; brand:apple; os:ios; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none; 
fotoğraf çekmek için iphone telefon -> price:any; brand:apple; os:ios; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none; 
hafızası ve bataryası iyi olan android telefon -> price:any; brand:none; os:android; usage:none; ram:none; storage:good; battery:good; camera:none; screen:none;
hafızası ve bataryası iyi olan xiaomi telefon -> price:any; brand:xiaomi; os:android; usage:none; ram:none; storage:good; battery:good; camera:none; screen:none;
iyi fotoğraf çeken telefon -> price:any; brand:none; os:none; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
iyi fotoğraf çeken android telefon -> price:any; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
uzun süre oyun oynayabileceğim oyuncu telefonları -> price:any; brand:none; os:android; usage:game; ram:8; storage:none; battery:good; camera:none; screen:none;
hafızasını sık sık kullanacağım bir iphone telefon öner -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:good; battery:good; camera:none; screen:none;
bataryası iyi  bir apple marka telefon -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
bataryası ve hafızası iyi dayanan bir apple marka telefon -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:good; battery:good; camera:none; screen:none;
pil ömrü uzun ve hızlı android telefon -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:good; camera:none; screen:none; 
çok fazla uygulama yüklemek için android telefon -> price:any; brand:none; os:android; usage:none; ram:none; storage:good; battery:none; camera:none; screen:none; 
ekranı iyi android telefon -> price:any; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:good; 
8 gb ram ve üzeri android telefon -> price:any; brand:none; os:android; usage:none; ram:8; storage:none; battery:none; camera:none; screen:none; 
8 gb ramli ve hafızası iyi telefon -> price:any; brand:none; os:none; usage:none; ram:8; storage:good; battery:none; camera:none; screen:none; 
16 gb ramli ve hafızası iyi telefon -> price:any; brand:none; os:none; usage:none; ram:16; storage:good; battery:none; camera:none; screen:none; 
oyun oynamak için iyi hafızalı samsung telefon -> price:any; brand:samsung; os:android; usage:game; ram:8; storage:good; battery:none; camera:none; screen:none; 
oyun oynamak için iyi hafızalı iphone -> price:any; brand:apple; os:ios; usage:game; ram:8; storage:good; battery:none; camera:none; screen:none; 
oyun oynamak için iyi hafızalı apple -> price:any; brand:apple; os:ios; usage:game; ram:8; storage:good; battery:none; camera:none; screen:none; 
uzun batarya ömrü ve hızlı şarj olan android -> price:any; brand:none; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none; 
6 gb ramli ve bataryası iyi android -> price:any; brand:none; os:android; usage:none; ram:6; storage:none; battery:good; camera:none; screen:none; 
bütçem 20000 tl kamera iyi android -> price:20000; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none; 
10000 tl  6 gb ram android -> price:10000; brand:none; os:android; usage:none; ram:6; storage:none; battery:none; camera:none; screen:none; 
pubg oynanabilecek android telefon -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
256 gb hafıza telefon öner -> price:any; brand:none; os:none; usage:none; ram:none; storage:256; battery:none; camera:none; screen:none; 
kamera ve batarya iyi olan samsung -> price:any; brand:samsung; os:android; usage:photo; ram:none; storage:none; battery:good; camera:good; screen:none; 
iyi hafıza -> price:none; brand:none; os:none; usage:none; ram:none; storage:good; battery:none; camera:none; screen:none;
oyun oynanan telefon -> price:none; brand:none; os:none; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
oyun oynamak için -> price:none; brand:none; os:none; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
selfie çekmek için -> price:none; brand:none; os:none; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
kamerası iyi olan -> price:none; brand:none; os:none; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
kamera iyi -> price:none; brand:none; os:none; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
iphone fotoğraf çekmek için  -> price:any; brand:apple; os:ios; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
çok fazla uygulama yüklemek için android telefon -> price:any; brand:none; os:android; usage:none; ram:none; storage:good; battery:none; camera:none; screen:none; 
bütçem max 15000tl -> price:15000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
fiyatı 15000 tl -> price:15000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
15000 tl oyun oynamak için android telefon öner -> price:15000; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
15000 tl oyun oynamak için android telefon öner  8 gb ram -> price:15000; brand:none; os:android; usage:game; ram:8; storage:none; battery:none; camera:none; screen:none;
25000 tl oyun oynamak için android telefon öner 16 gb ram samsung -> price:25000; brand:samsung; os:android; usage:game; ram:16; storage:none; battery:none; camera:none; screen:none;
25000 tl oyun oynamak için android telefon öner hafızası iyi 16 gb ram samsung -> price:25000; brand:samsung; os:android; usage:game; ram:16; storage:good; battery:none; camera:none; screen:none;
25000 tl oyun oynamak için android telefon öner bataryası iyi 16 gb ram samsung -> price:25000; brand:samsung; os:android; usage:game; ram:16; storage:none; battery:good; camera:none; screen:none;
oyuncu telefonu -> price:none; brand:none; os:none; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
oyun telefonu -> price:none; brand:none; os:none; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
gaming telefon -> price:none; brand:none; os:none; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
oyun oynanan telefon -> price:none; brand:none; os:none; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
oyun oynamak için -> price:none; brand:none; os:none; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
oyun için -> price:none; brand:none; os:none; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
pubg için -> price:none; brand:none; os:none; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
pubg telefon -> price:none; brand:none; os:none; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
pubg oyunu oynamak için  -> price:none; brand:none; os:none; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
pubg oyunu android  -> price:none; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
gaming telefon istiyorum -> price:none; brand:none; os:none; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
gaming android telefon -> price:none; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
güçlü android telefon -> price:none; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
oyun için olan ama iyi kameralı telefon -> price:none; brand:none; os:none; usage:game; ram:none; storage:none; battery:none; camera:good; screen:none;
Yüksek ram ve bataryası iyi telefon -> price:any; brand:none; os:none; usage:none; ram:16; storage:none; battery:good; camera:none; screen:none; 
256 gb depolama ve bataryası iyi olan android -> price:any; brand:none; os:android; usage:none; ram:none; storage:256; battery:iyi; camera:none; screen:none; 
Yüksek ram ve iyi hafıza android -> price:any; brand:none; os:android; usage:none; ram:16; storage:good; battery:none; camera:none; screen:none; 
Çok fazla oyun oynayanlar için bataryası iyi android -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:good; camera:none; screen:none; 
Küçük ekranlı, ucuz android -> price:9000; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:bad; 
Kamerası iyi ve hafızası iyi olan android -> price:any; brand:none; os:android; usage:photo; ram:none; storage:good; battery:none; camera:good; screen:none; 
Batarya ömrü uzun ve 128 gb hafıza -> price:any; brand:none; os:none; usage:none; ram:none; storage:128; battery:good; camera:none; screen:none; 
Bataryası iyi ve 128 gb hafıza -> price:any; brand:none; os:none; usage:none; ram:none; storage:128; battery:good; camera:none; screen:none; 
Bataryası iyi ve 128 gb hafıza gaming telefon -> price:any; brand:none; os:none; usage:game; ram:none; storage:128; battery:good; camera:none; screen:none; 
fotograf -> price:none; brand:none; os:none; usage:photo; ram:none; storage:none; battery:none; camera:none; screen:none; 
selfie çekmek için -> price:none; brand:none; os:none; usage:photo; ram:none; storage:none; battery:none; camera:none; screen:none; 
kamerası iyi olan -> price:none; brand:none; os:none; usage:photo; ram:none; storage:none; battery:none; camera:none; screen:none; 
kamera iyi -> price:none; brand:none; os:none; usage:phone; ram:none; storage:none; battery:none; camera:good; screen:none;
iyi kamera -> price:none; brand:none; os:none; usage:phone; ram:none; storage:none; battery:none; camera:good; screen:none; 
fotoğraf telefonu -> price:none; brand:none; os:none; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none; 
foto için -> price:none; brand:none; os:none; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none; 
rami 8 olan -> price:none; brand:none; os:none; usage:none; ram:8; storage:none; battery:none; camera:none; screen:none; 
rami 6 gb olan -> price:none; brand:none; os:none; usage:none; ram:6; storage:none; battery:none; camera:none; screen:none;
rami 4 GB olan -> price:none; brand:none; os:none; usage:none; ram:4; storage:none; battery:none; camera:none; screen:none; 
